Class,R_10,R_8,R_6,G_10,G_8,G_6,B_10,B_8,B_6
Cr6,121.6720541,109.3592131,90.47141056,124.4515316,123.0957019,112.5941138,17.29242693,21.56303304,25.67999868
Cr6,121.1123641,111.0785713,89.70790357,125.2242156,119.4137439,111.9065824,14.71239149,14.3925253,25.0544346
Cr6,123.4827559,110.2830601,92.58862445,126.5170101,119.1085937,115.0209004,15.08826562,19.13100202,29.59969528
Cr6,130.8495745,114.1855627,90.71028751,124.4090148,125.5534475,110.2106521,18.28179981,22.30288808,34.46575176
Cr6,125.9057856,109.996709,87.32808596,125.5976954,117.1684425,108.0066164,19.03718108,22.96750721,34.676065
Cr6,130.3992287,114.7939327,89.82241349,124.0228307,120.110664,109.5437101,15.60485516,17.85905465,28.90028749
Cr6,127.8976771,117.3641538,89.49001001,124.7154357,124.8586768,115.524618,16.93454428,16.15707598,26.99569402
Cr6,126.9554067,117.7587868,87.74981563,128.8171953,125.7955539,110.2855507,12.08018583,17.15020846,28.33729966
Cr6,128.2951919,112.8869989,89.50194451,129.0019924,117.2712444,112.1663832,19.05496042,22.96608824,26.27382929
Cr6,121.5385721,113.6178576,87.85468806,127.5355655,123.2819445,107.4694242,11.19603164,22.96173414,32.18487289
Cr6,127.9236544,112.8541243,86.19985958,128.6621035,117.0773366,107.6091855,11.23627216,16.74069047,26.76121562
Cr6,123.1421079,111.0805718,89.17916263,127.8193366,125.1497205,113.9051101,15.92390939,19.80138544,28.58424248
Cr6,126.1415906,116.2862656,94.29133262,125.3492478,124.1076459,107.9949879,14.30262996,14.97949702,27.95555078
Cr6,122.3263021,113.9179718,86.52735915,129.6606511,123.6974404,115.5048346,19.15557114,18.40415051,30.02576242
Cr6,129.2357589,112.6408096,92.16299376,124.866184,117.8718875,110.0877852,13.08983406,22.63338995,29.59870407
Cr6,122.4565266,113.0720434,86.70992222,126.0816593,124.2936646,110.4556301,11.03385701,14.57129414,25.33853404
Cr6,124.1619737,114.0278059,88.20944679,124.5053913,119.2626916,107.9208231,13.41362331,18.56524026,30.46631348
Cr6,121.6795411,118.688711,94.73142881,122.8532177,122.8606514,110.8169474,10.46341383,23.85241084,29.93858497
Cr6,121.0156378,118.1010986,95.75542442,120.3241669,118.1703873,112.8017238,16.96150542,16.13700256,31.67958654
Cr6,121.70498,112.7594253,93.23771013,120.0339573,123.8873781,114.7584106,17.04332268,15.63947081,29.61620683
Cr6,122.720386,117.889093,93.24581831,126.6044779,124.203538,108.0153866,10.07897155,19.34386958,31.43448103
Cr6,129.5010069,111.2757113,92.77838144,121.0834807,124.7074046,111.4675271,19.51418686,18.38410692,28.13624412
Cr6,126.3156066,110.2711276,94.25389512,121.2894237,123.2725098,114.5909673,11.22986708,21.76789547,32.96773789
Cr6,121.4685163,117.9834623,87.1834728,122.894083,119.0344144,107.3633646,12.20504825,16.57326522,27.98404645
Cr6,129.0888221,109.421658,94.03910919,125.5331509,121.1140546,107.8108103,11.03468452,21.43353927,31.74589916
Cr6,126.3646101,117.8857737,90.96949317,126.979319,116.8448727,107.1064185,12.28274745,14.88752278,28.71185395
Cr6,130.0084994,111.6908366,88.59268217,122.9487467,124.4505836,111.3893099,16.12919372,16.7598938,33.55482124
Cr6,125.582945,112.3507471,95.89721144,124.1525908,119.3676187,115.7641222,10.20346888,15.60646003,25.07476883
Cr6,128.6834668,115.8856374,95.85202329,124.4473411,117.7449618,111.3653257,13.62430419,15.9551093,33.12146295
Cr6,126.5795698,109.766151,89.1727819,129.8581278,125.4850538,113.2142556,18.77433787,22.23124728,31.21447971
Cr6,124.5895362,109.828856,94.84777877,121.7392143,121.7246897,112.9736045,18.56961383,14.30885446,34.22156978
Cr6,130.922828,109.860357,87.97741845,120.9525433,124.1399057,113.8380173,11.70512173,21.33206198,31.93810408
Cr6,125.2531107,111.5591197,91.78848972,128.265415,122.6960327,108.8402665,16.90530885,23.33845744,26.88800326
Cr6,125.8249258,118.4586004,90.10293215,120.8399667,116.5208397,116.596099,10.23641424,18.45097993,28.27145524
Cr6,127.2138698,112.0997719,88.01980694,123.4115304,122.1059106,111.5553312,10.15687194,20.23971288,32.24557705
Cr6,124.9121354,113.1800633,86.76113983,125.597387,119.7825233,113.2578651,10.07075516,19.66934832,31.35406168
Cr6,127.5330148,117.0005072,89.70202841,121.3975933,116.4247119,112.8926668,13.36083499,15.03250858,28.57589413
Cr6,122.6080598,114.7019716,87.82286854,127.1841109,125.3246357,112.870127,19.62769552,20.32081598,33.3463001
Cr6,126.529127,109.6881712,95.41962677,127.3711754,124.1186386,114.4285798,12.17753913,14.53744506,29.58561259
Cr6,122.6125194,113.0773159,91.77418559,128.9432078,118.2104537,111.8933038,16.55577415,21.30768227,32.67561244
Cr6,126.4498194,111.2303367,89.87312486,126.4096663,125.0830603,107.6676356,11.40696793,15.94127843,27.38275883
Cr6,130.2919803,110.2494655,89.01495097,123.6412727,125.9461065,109.6450437,19.61180157,17.08788533,32.09005174
Cr6,121.0413945,111.419998,92.69447735,120.7368134,123.4639353,114.8778052,15.56949707,18.08420066,28.09796682
Cr6,127.7290039,114.5627932,88.43973169,125.2069168,124.5153539,109.3375442,15.05078292,20.1808312,27.64931968
Cr6,130.6351563,113.2635937,91.87724952,127.5978061,124.0594288,109.3184891,16.48240518,14.7930477,27.97921523
Cr6,124.750275,118.2034758,94.71501093,128.4727249,125.7261971,115.4637558,10.99121049,16.19308173,26.6683165
Cr6,126.3715387,116.0539445,86.73274355,123.54901,121.5285252,110.4270996,17.05755847,20.71933625,31.67169518
Cr6,130.3420264,109.8160832,94.88285843,122.6599318,121.2636369,111.6750783,11.06920136,19.35167234,33.94129567
Cr6,128.3402466,114.3632465,94.63006924,128.5989124,121.127725,112.6507632,18.31448788,14.8076712,27.98798005
Cr6,121.0178689,115.3810123,91.63214671,126.2452951,120.4059292,111.3109918,12.19743486,21.28840841,30.37803893
Cr6,121.5054899,110.5703393,86.3369806,120.0567477,125.2935825,114.2545253,14.46475166,20.70806847,29.04042085
