cmpdname,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify,BoilingPoint
Ethylene Glycol,62.07,40.5,4,2,2,0,2,1,0,0,Alcohol,470.65
"2,3-Butanediol",90.12,40.5,6,2,4,0,2,2,0,0,Alcohol,455.15
1-Butanol,74.12,20.2,5,1,4,0,1,0,0,0,Alcohol,390.75
Methane,16.043,0,1,0,1,0,0,0,0,0,Hydrocarbon,111.65
Octane,114.23,0,8,0,8,0,0,0,0,0,Hydrocarbon,398.77
Dimethylamine,45.08,12,3,1,2,1,0,0,0,0,Amine,280.45
Ethanol,46.07,20.2,3,1,2,0,1,0,0,0,Alcohol,351.39
Glycerol,92.09,60.7,6,3,3,0,3,2,0,0,Alcohol,562.15
Methanol,32.042,20.2,2,1,1,0,1,0,0,0,Alcohol,337.65
1-Octanol,130.229,20.2,9,1,8,0,1,0,0,0,Alcohol,467.85
Propylene Glycol,76.09,40.5,5,2,3,0,2,1,0,0,Alcohol,460.45
1-Propanol,60.1,20.2,4,1,3,0,1,0,0,0,Alcohol,370.19
Trimethylamine,59.11,3.2,4,1,3,1,0,1,0,0,Amine,275.95
3-(Dibutylamino)propylamine,186.34,29.3,13,2,11,2,0,1,0,0,Amine,478.2
1-Hexadecanol,242.44,20.2,17,1,16,0,1,0,0,0,Alcohol,598.15
Dioctylamine,241.46,12,17,1,16,1,0,0,0,0,Amine,580.85
Ethylenediamine,60.1,52,4,2,2,2,0,1,0,0,Amine,390.05
Batyl alcohol,344.6,49.7,24,3,21,0,3,1,0,0,Alcohol,886.42
Isopropyl Alcohol,60.1,20.2,4,1,3,0,1,1,0,0,Alcohol,355.36
Triethylenetetramine,146.23,76.1,10,4,6,4,0,1,0,0,Amine,539.65
Sorbitol,182.17,121,12,6,6,0,6,5,0,0,Alcohol,704
"N,N,N',N'-Tetramethylmethanediamine",102.18,6.5,7,2,5,2,0,2,0,0,Amine,356.65
Bis(3-aminopropyl)amine,131.22,64.099,9,3,6,3,0,1,0,0,Amine,493.15
Mannitol,182.17,121,12,6,6,0,6,5,0,0,Alcohol,888.2
1-Pentanol,88.15,20.2,6,1,5,0,1,0,0,0,Alcohol,410.75
Ethane,30.07,0,2,0,2,0,0,0,0,0,Hydrocarbon,184.55
Ethylene,28.05,0,2,0,2,0,0,0,1,0,Hydrocarbon,169.35
Methylamine,31.057,26,2,1,1,1,0,0,0,0,Amine,266.75
Propane,44.1,0,3,0,3,0,0,0,0,0,Hydrocarbon,231.04
Propyne,40.06,0,3,0,3,0,0,0,0,1,Hydrocarbon,249.95
Ethylamine,45.08,26,3,1,2,1,0,0,0,0,Amine,289.75
Isobutane,58.12,0,4,0,4,0,0,1,0,0,Hydrocarbon,261.45
Isopropylamine,59.11,26,4,1,3,1,0,1,0,0,Amine,304.95
tert-Butylamine,73.14,26,5,1,4,1,0,2,0,0,Amine,317.17
tert-Butanol,74.12,20.2,5,1,4,0,1,2,0,0,Alcohol,355.45
"2,2-Dimethylbutane",86.18,0,6,0,6,0,0,2,0,0,Hydrocarbon,322.85
Neopentyl alcohol,88.15,20.2,6,1,5,0,1,2,0,0,Alcohol,385.15
2-Methyl-2-butanol,88.15,20.2,6,1,5,0,1,2,0,0,Alcohol,375.55
Pinacol,118.17,40.5,8,2,6,0,2,4,0,0,Alcohol,447.15
3-Methyl-3-pentanol,102.17,20.2,7,1,6,0,1,2,0,0,Alcohol,402.15
3-Methyl-1-pentyn-3-ol,98.14,20.2,7,1,6,0,1,2,0,1,Alcohol,393.15
"3,7-Dimethyloctan-3-ol",158.28,20.2,11,1,10,0,1,3,0,0,Alcohol,478.25
Linalool,154.25,20.2,11,1,10,0,1,3,2,0,Alcohol,470.15
Isopentane,72.15,0,5,0,5,0,0,1,0,0,Hydrocarbon,300.98
Isoprene,68.12,0,5,0,5,0,0,1,2,0,Hydrocarbon,307.15
Isobutylamine,73.14,26,5,1,4,1,0,1,0,0,Amine,341.95
Isobutanol,74.12,20.2,5,1,4,0,1,1,0,0,Alcohol,380.99
2-Butanol,74.12,20.2,5,1,4,0,1,1,0,0,Alcohol,372.55
"2,3-Dimethylbutane",86.18,0,6,0,6,0,0,2,0,0,Hydrocarbon,331.15
Xylitol,152.15,101,10,5,5,0,5,4,0,0,Alcohol,653.15
"2-Ethyl-1,3-hexanediol",146.23,40.5,10,2,8,0,2,2,0,0,Alcohol,516.15
3-Methylpentane,86.18,0,6,0,6,0,0,1,0,0,Hydrocarbon,336.45
2-Methylbutylamine,87.16,26,6,1,5,1,0,1,0,0,Amine,368.70133
"N,N,N',N'-Tetramethyl-1,3-butanediamine",144.26,6.5,10,2,8,2,0,3,0,0,Amine,438.2
Triethylborane,98,0,7,0,6,0,0,2,0,0,Hydrocarbon,368.15
2-Ethyl-1-butanol,102.17,20.2,7,1,6,0,1,1,0,0,Alcohol,428.15
Tripropylamine,143.27,3.2,10,1,9,1,0,1,0,0,Amine,426.15
Triallylamine,137.22,3.2,10,1,9,1,0,1,3,0,Amine,423.15
Tributylamine,185.35,3.2,13,1,12,1,0,1,0,0,Amine,480.15
Tridodecylamine,522,3.2,37,1,36,1,0,1,0,0,Amine,721.15
5-Ethyl-2-nonanol,172.31,20.2,12,1,11,0,1,2,0,0,Alcohol,498.15
2-Ethylhexylamine,129.24,26,9,1,8,1,0,1,0,0,Amine,445.15
2-Ethylhexan-1-ol,130.229,20.2,9,1,8,0,1,1,0,0,Alcohol,459.35
2-Methyl-1-pentanol,102.17,20.2,7,1,6,0,1,1,0,0,Alcohol,430.15
"1,3-Dimethylpentylamine",115.22,26,8,1,7,1,0,2,0,0,Amine,405.65
"N,N-Bis(3-aminopropyl)methylamine",145.25,55.3,10,3,7,3,0,1,0,0,Amine,505.15
Bis(2-ethylhexyl)amine,241.46,12,17,1,16,1,0,2,0,0,Amine,554.25
