cmpdname,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify
Ethylene Glycol,62.07,40.5,4,2,2,0,2,1,0,0,Alcohol
"2,3-Butanediol",90.12,40.5,6,2,4,0,2,2,0,0,Alcohol
1-Butanol,74.12,20.2,5,1,4,0,1,0,0,0,Alcohol
Methane,16.043,0,1,0,1,0,0,0,0,0,Hydrocarbon
Octane,114.23,0,8,0,8,0,0,0,0,0,Hydrocarbon
Dimethylamine,45.08,12,3,1,2,1,0,0,0,0,Amine
Ethanol,46.07,20.2,3,1,2,0,1,0,0,0,Alcohol
Glycerol,92.09,60.7,6,3,3,0,3,2,0,0,Alcohol
Methanol,32.042,20.2,2,1,1,0,1,0,0,0,Alcohol
1-Octanol,130.229,20.2,9,1,8,0,1,0,0,0,Alcohol
Propylene Glycol,76.09,40.5,5,2,3,0,2,1,0,0,Alcohol
1-Propanol,60.1,20.2,4,1,3,0,1,0,0,0,Alcohol
Trimethylamine,59.11,3.2,4,1,3,1,0,1,0,0,Amine
3-(Dibutylamino)propylamine,186.34,29.3,13,2,11,2,0,1,0,0,Amine
1-Hexadecanol,242.44,20.2,17,1,16,0,1,0,0,0,Alcohol
Dioctylamine,241.46,12,17,1,16,1,0,0,0,0,Amine
Ethylenediamine,60.1,52,4,2,2,2,0,1,0,0,Amine
Batyl alcohol,344.6,49.7,24,3,21,0,3,1,0,0,Alcohol
Isopropyl Alcohol,60.1,20.2,4,1,3,0,1,1,0,0,Alcohol
Triethylenetetramine,146.23,76.1,10,4,6,4,0,1,0,0,Amine
Sorbitol,182.17,121,12,6,6,0,6,5,0,0,Alcohol
"N,N,N',N'-Tetramethylmethanediamine",102.18,6.5,7,2,5,2,0,2,0,0,Amine
Bis(3-aminopropyl)amine,131.22,64.099,9,3,6,3,0,1,0,0,Amine
Mannitol,182.17,121,12,6,6,0,6,5,0,0,Alcohol
1-Pentanol,88.15,20.2,6,1,5,0,1,0,0,0,Alcohol
Ethane,30.07,0,2,0,2,0,0,0,0,0,Hydrocarbon
Ethylene,28.05,0,2,0,2,0,0,0,1,0,Hydrocarbon
Methylamine,31.057,26,2,1,1,1,0,0,0,0,Amine
Propane,44.1,0,3,0,3,0,0,0,0,0,Hydrocarbon
Propyne,40.06,0,3,0,3,0,0,0,0,1,Hydrocarbon
Ethylamine,45.08,26,3,1,2,1,0,0,0,0,Amine
Isobutane,58.12,0,4,0,4,0,0,1,0,0,Hydrocarbon
Isopropylamine,59.11,26,4,1,3,1,0,1,0,0,Amine
tert-Butylamine,73.14,26,5,1,4,1,0,2,0,0,Amine
tert-Butanol,74.12,20.2,5,1,4,0,1,2,0,0,Alcohol
"2,2-Dimethylbutane",86.18,0,6,0,6,0,0,2,0,0,Hydrocarbon
Neopentyl alcohol,88.15,20.2,6,1,5,0,1,2,0,0,Alcohol
2-Methyl-2-butanol,88.15,20.2,6,1,5,0,1,2,0,0,Alcohol
Pinacol,118.17,40.5,8,2,6,0,2,4,0,0,Alcohol
3-Methyl-3-pentanol,102.17,20.2,7,1,6,0,1,2,0,0,Alcohol
3-Methyl-1-pentyn-3-ol,98.14,20.2,7,1,6,0,1,2,0,1,Alcohol
"3,7-Dimethyloctan-3-ol",158.28,20.2,11,1,10,0,1,3,0,0,Alcohol
Linalool,154.25,20.2,11,1,10,0,1,3,2,0,Alcohol
Isopentane,72.15,0,5,0,5,0,0,1,0,0,Hydrocarbon
Isoprene,68.12,0,5,0,5,0,0,1,2,0,Hydrocarbon
Isobutylamine,73.14,26,5,1,4,1,0,1,0,0,Amine
Isobutanol,74.12,20.2,5,1,4,0,1,1,0,0,Alcohol
2-Butanol,74.12,20.2,5,1,4,0,1,1,0,0,Alcohol
"2,3-Dimethylbutane",86.18,0,6,0,6,0,0,2,0,0,Hydrocarbon
Xylitol,152.15,101,10,5,5,0,5,4,0,0,Alcohol
"2-Ethyl-1,3-hexanediol",146.23,40.5,10,2,8,0,2,2,0,0,Alcohol
3-Methylpentane,86.18,0,6,0,6,0,0,1,0,0,Hydrocarbon
2-Methylbutylamine,87.16,26,6,1,5,1,0,1,0,0,Amine
"N,N,N',N'-Tetramethyl-1,3-butanediamine",144.26,6.5,10,2,8,2,0,3,0,0,Amine
Triethylborane,98,0,7,0,6,0,0,2,0,0,Hydrocarbon
2-Ethyl-1-butanol,102.17,20.2,7,1,6,0,1,1,0,0,Alcohol
Tripropylamine,143.27,3.2,10,1,9,1,0,1,0,0,Amine
Triallylamine,137.22,3.2,10,1,9,1,0,1,3,0,Amine
Tributylamine,185.35,3.2,13,1,12,1,0,1,0,0,Amine
Tridodecylamine,522,3.2,37,1,36,1,0,1,0,0,Amine
5-Ethyl-2-nonanol,172.31,20.2,12,1,11,0,1,2,0,0,Alcohol
2-Ethylhexylamine,129.24,26,9,1,8,1,0,1,0,0,Amine
2-Ethylhexan-1-ol,130.229,20.2,9,1,8,0,1,1,0,0,Alcohol
2-Methyl-1-pentanol,102.17,20.2,7,1,6,0,1,1,0,0,Alcohol
"1,3-Dimethylpentylamine",115.22,26,8,1,7,1,0,2,0,0,Amine
"N,N-Bis(3-aminopropyl)methylamine",145.25,55.3,10,3,7,3,0,1,0,0,Amine
Bis(2-ethylhexyl)amine,241.46,12,17,1,16,1,0,2,0,0,Amine
"3,7-Dimethyloctan-1-ol",158.28,20.2,11,1,10,0,1,2,0,0,Alcohol
(-)-Citronellol,156.26,20.2,11,1,10,0,1,2,1,0,Alcohol
2-Ethyl-4-methylpentan-1-ol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
"1,2,6-Hexanetriol",134.17,60.7,9,3,6,0,3,2,0,0,Alcohol
Butane,58.12,0,4,0,4,0,0,0,0,0,Hydrocarbon
1-Butene,56.11,0,4,0,4,0,0,0,1,0,Hydrocarbon
"1,3-Butadiene",54.09,0,4,0,4,0,0,0,2,0,Hydrocarbon
1-Butyne,54.09,0,4,0,4,0,0,0,0,1,Hydrocarbon
Propylamine,59.11,26,4,1,3,1,0,0,0,0,Amine
Allylamine,57.09,26,4,1,3,1,0,0,1,0,Amine
Allyl alcohol,58.08,20.2,4,1,3,0,1,0,1,0,Alcohol
Propargyl alcohol,56.06,20.2,4,1,3,0,1,0,0,1,Alcohol
"2,4,4-Trimethyl-1-pentene",112.21,0,8,0,8,0,0,3,1,0,Hydrocarbon
"2,4,4-Trimethyl-2-pentene",112.21,0,8,0,8,0,0,3,1,0,Hydrocarbon
Hexylene glycol,118.17,40.5,8,2,6,0,2,3,0,0,Alcohol
2-Methylpentane,86.18,0,6,0,6,0,0,1,0,0,Hydrocarbon
Isoamylamine,87.16,26,6,1,5,1,0,1,0,0,Amine
"1,3-Butanediol",90.12,40.5,6,2,4,0,2,1,0,0,Alcohol
1-Methoxy-2-propanol,90.12,29.5,6,2,4,0,2,1,0,0,Alcohol
"2,4-Dimethylpentane",100.2,0,7,0,7,0,0,2,0,0,Hydrocarbon
"1,3-Dimethylbutylamine",101.19,26,7,1,6,1,0,2,0,0,Amine
4-Methyl-2-pentanol,102.17,20.2,7,1,6,0,1,2,0,0,Alcohol
Diisopropylamine,101.19,12,7,1,6,1,0,2,0,0,Amine
"2,6-Dimethylheptan-4-ol",144.25,20.2,10,1,9,0,1,3,0,0,Alcohol
3-Hexyn-2-OL,98.14,20.2,7,1,6,0,1,1,0,1,Alcohol
3-(Dimethylamino)propylamine,102.18,29.3,7,2,5,2,0,1,0,0,Amine
2-Isopropoxyethanol,104.15,29.5,7,2,5,0,2,1,0,0,Alcohol
Pentane,72.15,0,5,0,5,0,0,0,0,0,Hydrocarbon
1-Pentene,70.13,0,5,0,5,0,0,0,1,0,Hydrocarbon
Butylamine,73.14,26,5,1,4,1,0,0,0,0,Amine
N-Methylethylenediamine,74.13,38,5,2,3,2,0,0,0,0,Amine
2-Methoxyethanol,76.09,29.5,5,2,3,0,2,0,0,0,Alcohol
Diethylamine,73.14,12,5,1,4,1,0,0,0,0,Amine
"2,5-Dimethyl-2,5-hexanediol",146.23,40.5,10,2,8,0,2,4,0,0,Alcohol
"N,N,N',N'-Tetramethylethylenediamine",116.2,6.5,8,2,6,2,0,2,0,0,Amine
n-HEXANE,86.18,0,6,0,6,0,0,0,0,0,Hydrocarbon
Amylamine,87.16,26,6,1,5,1,0,0,0,0,Amine
"1,4-Butanediol",90.12,40.5,6,2,4,0,2,1,0,0,Alcohol
"But-2-ene-1,4-diol",88.11,40.5,6,2,4,0,2,1,1,0,Alcohol
"2-Butyne-1,4-diol",86.09,40.5,6,2,4,0,2,1,0,1,Alcohol
N-Methylbutylamine,87.16,12,6,1,5,1,0,0,0,0,Amine
"N,N'-Dimethylethylenediamine",88.15,24.1,6,2,4,2,0,0,0,0,Amine
2-Ethoxyethanol,90.12,29.5,6,2,4,0,2,0,0,0,Alcohol
"N,N,N',N'-Tetramethyl-1,3-propanediamine",130.229,6.5,9,2,7,2,0,2,0,0,Amine
Diisobutylamine,129.24,12,9,1,8,1,0,2,0,0,Amine
"1,1'-Oxydi-2-propanol",134.17,49.7,9,3,6,0,3,2,0,0,Alcohol
Squalane,422.8,0,30,0,30,0,0,6,0,0,Hydrocarbon
"N,N,N',N'-Tetramethyl-1,6-hexanediamine",172.31,6.5,12,2,10,2,0,2,0,0,Amine
Hexylamine,101.19,26,7,1,6,1,0,0,0,0,Amine
1-Hexanol,102.17,20.2,7,1,6,0,1,0,0,0,Alcohol
"1,5-Pentanediol",104.15,40.5,7,2,5,0,2,1,0,0,Alcohol
4-Methoxybutan-1-ol,104.15,29.5,7,2,5,0,2,0,0,0,Alcohol
3-Ethoxy-1-propanol,104.15,29.5,7,2,5,0,2,0,0,0,Alcohol
Diethylenetriamine,103.17,64.099,7,3,4,3,0,1,0,0,Amine
2-Allyloxyethanol,102.13,29.5,7,2,5,0,2,0,1,0,Alcohol
1-Octene,112.21,0,8,0,8,0,0,0,1,0,Hydrocarbon
Oct-2-ene,112.21,0,8,0,8,0,0,0,1,0,Hydrocarbon
Heptylamine,115.22,26,8,1,7,1,0,0,0,0,Amine
1-Heptanol,116.2,20.2,8,1,7,0,1,0,0,0,Alcohol
2-Butoxyethanol,118.17,29.5,8,2,6,0,2,0,0,0,Alcohol
2-(2-Methoxyethoxy)ethanol,120.15,38.7,8,3,5,0,3,0,0,0,Alcohol
Nonane,128.25,0,9,0,9,0,0,0,0,0,Hydrocarbon
Octylamine,129.24,26,9,1,8,1,0,0,0,0,Amine
Dibutylamine,129.24,12,9,1,8,1,0,0,0,0,Amine
"N,N-Dimethyldodecylamine",213.4,3.2,15,1,14,1,0,1,0,0,Amine
2-(Hexyloxy)ethanol,146.23,29.5,10,2,8,0,2,0,0,0,Alcohol
Triethylene glycol,150.17,58.9,10,4,6,0,4,1,0,0,Alcohol
1-Decanol,158.28,20.2,11,1,10,0,1,0,0,0,Alcohol
2-(2-Butoxyethoxy)ethanol,162.23,38.7,11,3,8,0,3,0,0,0,Alcohol
Dodecane,170.33,0,12,0,12,0,0,0,0,0,Hydrocarbon
