AtomicNumber,Symbol,Period,Group,AtomicRadius,CovalentRadius,Valence_s,Valence_p,Valence_d,Valence_f,FirstIonization
1,H,1,1,0.79,0.37,1,0,0,0,13.5984
2,He,1,18,0.49,0.32,0,0,0,0,24.5874
3,Li,2,1,2.1,1.34,1,0,0,0,5.3917
4,Be,2,2,1.4,0.9,2,0,0,0,9.3227
5,B,2,13,1.2,0.82,2,1,0,0,8.298
6,C,2,14,0.91,0.77,2,2,0,0,11.2603
7,N,2,15,0.75,0.75,2,3,0,0,14.5341
8,O,2,16,0.65,0.73,2,4,0,0,13.6181
9,F,2,17,0.57,0.71,2,5,0,0,17.4228
10,Ne,2,18,0.51,0.69,0,0,0,0,21.5645
11,Na,3,1,2.2,1.54,1,0,0,0,5.1391
12,Mg,3,2,1.7,1.3,2,0,0,0,7.6462
13,Al,3,13,1.8,1.18,2,1,0,0,5.9858
14,Si,3,14,1.5,1.11,2,2,0,0,8.1517
15,P,3,15,1.2,1.06,2,3,0,0,10.4867
16,S,3,16,1.1,1.02,2,4,0,0,10.36
17,Cl,3,17,0.97,0.99,2,5,0,0,12.9676
18,Ar,3,18,0.88,0.97,0,0,0,0,15.7596
19,K,4,1,2.8,1.96,1,0,0,0,4.3407
20,Ca,4,2,2.2,1.74,2,0,0,0,6.1132
21,Sc,4,3,2.1,1.44,2,0,1,0,6.5615
22,Ti,4,4,2,1.36,2,0,2,0,6.8281
23,V,4,5,1.9,1.25,2,0,3,0,6.7462
24,Cr,4,6,1.9,1.27,1,0,5,0,6.7665
25,Mn,4,7,1.8,1.39,2,0,5,0,7.434
26,Fe,4,8,1.7,1.25,2,0,6,0,7.9024
27,Co,4,9,1.7,1.26,2,0,7,0,7.881
28,Ni,4,10,1.6,1.21,2,0,8,0,7.6398
29,Cu,4,11,1.6,1.38,1,0,10,0,7.7264
30,Zn,4,12,1.5,1.31,2,0,10,0,9.3942
31,Ga,4,13,1.8,1.26,2,1,0,0,5.9993
32,Ge,4,14,1.5,1.22,2,2,0,0,7.8994
33,As,4,15,1.3,1.19,2,3,0,0,9.7886
34,Se,4,16,1.2,1.16,2,4,0,0,9.7524
35,Br,4,17,1.1,1.14,2,5,0,0,11.8138
36,Kr,4,18,1,1.1,0,0,0,0,13.9996
37,Rb,5,1,3,2.11,1,0,0,0,4.1771
38,Sr,5,2,2.5,1.92,2,0,0,0,5.6949
39,Y,5,3,2.3,1.62,2,0,1,0,6.2173
40,Zr,5,4,2.2,1.48,2,0,2,0,6.6339
41,Nb,5,5,2.1,1.37,1,0,4,0,6.7589
42,Mo,5,6,2,1.45,1,0,5,0,7.0924
43,Tc,5,7,2,1.56,2,0,5,0,7.28
44,Ru,5,8,1.9,1.26,1,0,7,0,7.3605
45,Rh,5,9,1.8,1.35,1,0,8,0,7.4589
46,Pd,5,10,1.8,1.31,0,0,10,0,8.3369
47,Ag,5,11,1.8,1.53,1,0,10,0,7.5762
48,Cd,5,12,1.7,1.48,2,0,10,0,8.9938
49,In,5,13,2,1.44,2,1,10,0,5.7864
50,Sn,5,14,1.7,1.41,2,2,10,0,7.3439
51,Sb,5,15,1.5,1.38,2,3,10,0,8.6084
52,Te,5,16,1.4,1.35,2,4,10,0,9.0096
53,I,5,17,1.3,1.33,2,5,10,0,10.4513
54,Xe,5,18,1.2,1.3,0,0,0,0,12.1298
55,Cs,6,1,3.3,2.25,1,0,0,0,3.8939
56,Ba,6,2,2.8,1.98,2,0,0,0,5.2117
57,La,6,3,2.7,1.69,2,0,1,0,5.5769
58,Ce,6,3,2.7,1.65,2,0,1,1,5.5387
59,Pr,6,3,2.7,1.65,2,0,0,3,5.473
60,Nd,6,3,2.6,1.84,2,0,0,4,5.525
61,Pm,6,3,2.6,1.63,2,0,0,5,5.582
62,Sm,6,3,2.6,1.62,2,0,0,6,5.6437
63,Eu,6,3,2.6,1.85,2,0,0,7,5.6704
64,Gd,6,3,2.5,1.61,2,0,1,7,6.1501
65,Tb,6,3,2.5,1.59,2,0,0,9,5.8638
66,Dy,6,3,2.5,1.59,2,0,0,10,5.9389
67,Ho,6,3,2.5,1.58,2,0,0,11,6.0215
68,Er,6,3,2.5,1.57,2,0,0,12,6.1077
69,Tm,6,3,2.4,1.56,2,0,0,13,6.1843
70,Yb,6,3,2.4,1.56,2,0,0,14,6.2542
71,Lu,6,3,2.3,1.6,2,0,1,14,5.4259
72,Hf,6,4,2.2,1.5,2,0,2,14,6.8251
73,Ta,6,5,2.1,1.38,2,0,3,14,7.5496
74,W,6,6,2,1.46,2,0,4,14,7.864
75,Re,6,7,2,1.59,2,0,5,14,7.8335
76,Os,6,8,1.9,1.28,2,0,6,14,8.4382
77,Ir,6,9,1.9,1.37,2,0,7,14,8.967
78,Pt,6,10,1.8,1.28,1,0,9,14,8.9587
79,Au,6,11,1.8,1.44,1,0,10,14,9.2255
80,Hg,6,12,1.8,1.49,2,0,10,14,10.4375
81,Tl,6,13,2.1,1.48,2,1,10,14,6.1082
82,Pb,6,14,1.8,1.47,2,2,10,14,7.4167
83,Bi,6,15,1.6,1.46,2,3,10,14,7.2856
